위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
굴착저면,기초바닥,정지,매몰,붕괴,굴착면 기울기
굴착저면,기초바닥,정지,매몰,낙하,상부앵커 강도 미흡
굴착저면,,운반,매몰,붕괴,굴착면 기울기
굴착저면,,운반,매몰,낙하,상부앵커 강도 미흡
낙하물방지망,고소,설치,추락,,
낙하물방지망,고소,설치,추락,낙하,탈락(지지용앵커)
달비계,고소,수평단차확인,추락,낙하,작업발판을 빔위에서 인력으로 인양
담장,상부,쌓기,매몰,붕괴,집중하중
담장,,철거,협착,전도,작업하중
덤프트럭,,운반,충돌,,
데크플레이트,,설치,추락,낙하,탈락
데크플레이트,,타설,추락,낙하,탈락
데크플레이트,,타설,매몰,붕괴,집중하중
드릴,,조립,협착,,
띠장,,해체,충돌,낙하,탈락
막장,상부,,,붕괴,암층
막장,상부,발파,,붕괴,풍화암층 파쇄대
막장,천단부,,,붕괴,단층파쇄대 및 절리
막장,천단부,,,붕괴,쐐기형 파쇄대와 연약대
막장,천단부,,,붕괴,연약대 및 절리
막장,천단부,,,붕괴,"토사층, 풍화암층, 연암 경암층"
막장,천단부,정리,,붕괴,풍화토 및 풍화암
막장,천단부,타설,,붕괴,풍화암 및 절리
막장,천단부,타설,매몰,낙하,락볼트 설치간격과 정착방법
막장,천단부,타설준비,,붕괴,단층파쇄대 및 우수유입
막장,후방,천공,매몰,낙석,부석 미제거
막장면,,,,붕괴,풍화암 및 지하수유입
막장면,,,,붕괴,풍화토 및 우수유입
막장면,상부,,,붕괴,석회암 파쇄대
막장면,,결선,충돌,낙하,부석 미제거 및 락볼트 설치 미실시
막장면,,굴착,,붕괴,풍화암층 파쇄대 및 지하수 유입
막장면,,굴착,,붕괴,파쇄대 및 편암
막장면,,발파,폭발,폭발,낙뢰
막장면,,발파,협착,낙하,부석 미제거 및 락볼트 설치 미실시
막장면,,작업장 출입,매몰,붕괴,부석 미제거
막장면,,장약,매몰,낙하,부석 미제거 및 락볼트 설치 미실시
막장면,,장약,매몰,붕괴,부석제거 미흡
막장면,,천공,충돌,낙하,수직형태의 절리에 방해석 협재
막장면,,타설준비,매몰,붕괴,지반상태 불량
막장면,,타설준비,매몰,붕괴,우수유입
맨홀,,인양,충돌,낙하,로프 강도 불충분
몰탈혼합기,,청소,절단,,
믹서트럭,,운반,충돌,전도,브레이크 파열
바닥개구부,,,추락,,
방음벽,,해체,충돌,,
방호선반,고소,해체,추락,,
백호 버켓,,정리,충돌,,
백호,교각 가도,이동,익사,전도,임의 이동
백호,,다짐,협착,전도,부동침하
백호,,인양,협착,전도,건설기계 주용도외 사용
백호,,인양,충돌,,
백호,,자재이동,협착,,
백호,,정지,익사,전락,가물막이 단부 붕괴
버팀대,,골조,추락,전도,자재불량에 의한 파손
버팀보,,반출,충돌,낙하,해체상태 거치
벌목,,,충돌,전도,절단방향 판단 오류
